lambdap,lambdad,lambdaf,1-ARP,AGD,1-ILS,IPE,HR,NDCG
0,0,0,0.2065073,0.18233804,0.5442893,0.6892243,0.77072847,0.16510925
0,0,10,0.20620672,0.18370445,0.54738766,0.68797785,0.766159,0.16402765
0,0,100,0.20650585,0.186083,0.5452545,0.6881291,0.7675828,0.16412154
0,0,1000,0.20601293,0.18830971,0.5453199,0.69075614,0.76768214,0.16412133
0,0,10000,0.20237437,0.188917,0.5180793,0.7142858,0.76185435,0.15888336
0,0,100000,0.17356451,0.20111337,0.3863967,0.7890311,0.71178806,0.11876035
0,0,1000000,0.081466004,0.2638158,0.24742393,0.7668485,0.42586094,0.040483914
0,0,10000000,0.02150151,0.3382085,0.22554033,0.72691166,0.13569537,0.009029662
0,0.0001,0,0.18909553,0.28577936,0.5280769,0.74552053,0.8831457,0.24625266
0,0.0001,10,0.18935359,0.28709513,0.5267227,0.74450386,0.8832451,0.24628308
0,0.0001,100,0.18632507,0.28922063,0.52415884,0.74389374,0.8839736,0.24914446
0,0.0001,1000,0.18935357,0.28724697,0.52142555,0.7476012,0.88059604,0.24305527
0,0.0001,10000,0.18266676,0.29043525,0.49153942,0.76972115,0.8781457,0.23755288
0,0.0001,100000,0.14593844,0.29974693,0.36970082,0.807296,0.8328476,0.16551197
0,0.0001,1000000,0.0768983,0.3311235,0.26839715,0.7426839,0.5758609,0.05682686
0,0.0001,10000000,0.0318316,0.30232793,0.28436452,0.6592548,0.20394039,0.014107086
0,0.001,0,0.18290806,0.1930162,0.3998495,0.809559,0.87526494,0.24542117
0,0.001,10,0.18124017,0.19331983,0.3979745,0.8068085,0.8817881,0.24749808
0,0.001,100,0.18233678,0.18977731,0.40064007,0.806842,0.87523186,0.24486437
0,0.001,1000,0.18064436,0.18932186,0.39929438,0.8114726,0.87599343,0.24261943
0,0.001,10000,0.17230284,0.19387652,0.37438163,0.8311863,0.86731786,0.22865191
0,0.001,100000,0.13359305,0.20318826,0.30073687,0.843159,0.8163907,0.16296108
0,0.001,1000000,0.09120731,0.2529858,0.255796,0.79651916,0.6859603,0.0878937
0,0.001,10000000,0.043028004,0.29418018,0.2912228,0.6424781,0.35294703,0.02723912
0,0.01,0,0.18020384,0.11002024,0.24521318,0.85192204,0.85198677,0.2110847
0,0.01,10,0.17896977,0.10946356,0.24332014,0.8519381,0.85162246,0.20833042
0,0.01,100,0.17934474,0.10875507,0.24714068,0.84863377,0.8570199,0.21026611
0,0.01,1000,0.17661524,0.108552635,0.2419097,0.8530639,0.85476816,0.2084142
0,0.01,10000,0.16425411,0.10784414,0.22214942,0.86389333,0.83771527,0.18960015
0,0.01,100000,0.12862054,0.11411943,0.20064712,0.87184966,0.77460265,0.12604839
0,0.01,1000000,0.09760465,0.14979759,0.2071274,0.86597747,0.69241726,0.09071124
0,0.01,10000000,0.07321501,0.23031378,0.24228553,0.7756879,0.60006624,0.06306169
0,0.1,0,0.16089877,0.0492915,0.12292156,0.8824733,0.7101987,0.12410383
0,0.1,10,0.16035186,0.047823887,0.12355254,0.8796976,0.71072847,0.12473073
0,0.1,100,0.1619229,0.04888664,0.123962626,0.87552035,0.7174503,0.12658396
0,0.1,1000,0.15900724,0.048279352,0.12063714,0.8811923,0.7052649,0.12309593
0,0.1,10000,0.15702704,0.052884616,0.12560236,0.8819356,0.71738416,0.11916138
0,0.1,100000,0.13569205,0.061740886,0.113932654,0.90703315,0.66923845,0.08813588
0,0.1,1000000,0.105194665,0.093522266,0.13585585,0.9050182,0.607947,0.070697725
0,0.1,10000000,0.090920575,0.14063764,0.19342574,0.8719001,0.65132457,0.079325385
0,1,0,0.12891704,0.027176116,0.14991084,0.8840448,0.509106,0.059276767
0,1,10,0.12798564,0.0270749,0.1591067,0.8764385,0.50774837,0.05963061
0,1,100,0.13081212,0.027125504,0.15883252,0.87764895,0.514702,0.060510762
0,1,1000,0.12916145,0.027226722,0.15489128,0.8840314,0.51470196,0.060188107
0,1,10000,0.13320556,0.027682185,0.13594243,0.92100525,0.52821195,0.0633735
0,1,100000,0.13143161,0.034008097,0.07531808,0.95499706,0.53688747,0.06680639
0,1,1000000,0.114335336,0.0472166,0.08531908,0.9348772,0.5227815,0.054715924
