lambdap,lambdad,lambdaf,ARP,AGD,ILS,IPE,HR,NDCG,
0,0,0,0.122652178,0.194998856,0.544621593,0.072040818,0.87745098,0.54932927,
0,0,10,0.123103525,0.196375325,0.538778184,0.068668325,0.876906289,0.550555136,
0,0,100,0.128182484,0.202110582,0.55864117,0.095906349,0.874727708,0.54466229,
0,0,1000,0.154441941,0.242027947,0.631340719,0.276109822,0.864923795,0.516419349,
0,0,10000,0.295852557,0.356733191,0.791040419,0.713878046,0.729030491,0.336715074,
0,0,100000,0.641518722,0.622390414,0.826280701,0.818141598,0.406862787,0.130119229,
0,0,1000000,0.883491238,0.741454466,0.761338552,0.662088938,0.158769053,0.039651897,
0,0,10000000,0.999098921,0.659554936,0.635605147,0.432671697,0,0,
0,0.0001,0,0.156161162,0.368433105,0.651885537,0.369033751,0.983387779,0.852111178,
0,0.0001,10,0.159871432,0.367056674,0.653943047,0.372035878,0.982298399,0.850927004,
0,0.0001,100,0.163812584,0.373480185,0.66140141,0.395521019,0.979847459,0.849093549,
0,0.0001,1000,0.198187593,0.399632932,0.709811902,0.526040622,0.97630719,0.803889235,
0,0.0001,10000,0.30817199,0.469603149,0.815419155,0.779515154,0.886710253,0.513533265,
0,0.0001,100000,0.587174313,0.621243382,0.838446127,0.841960817,0.504357285,0.158165712,
0,0.0001,1000000,0.859065161,0.80385412,0.807189226,0.758842481,0.191448816,0.049967439,
0,0.0001,10000000,0.987768284,0.739848636,0.687155767,0.521042503,0.025871455,0.00423169,
0,0.001,0,0.160494109,0.422344582,0.723065924,0.553379025,0.993736318,0.944975673,
0,0.001,10,0.163383666,0.426015193,0.72105032,0.553781864,0.993736382,0.946485122,
0,0.001,100,0.1685699,0.428538656,0.735368912,0.587880676,0.991557826,0.929937785,
0,0.001,1000,0.211540151,0.459050191,0.772481257,0.703158212,0.988562029,0.876523803,
0,0.001,10000,0.342479941,0.520761649,0.808511041,0.850634962,0.937091412,0.613894544,
0,0.001,100000,0.559164336,0.628125768,0.828368104,0.840923407,0.641612187,0.222637768,
0,0.001,1000000,0.796299434,0.761642575,0.783426559,0.755443254,0.289215698,0.074670382,
0,0.001,10000000,0.945502345,0.821977487,0.738556756,0.641877113,0.059095832,0.01347443,
0,0.01,0,0.148315981,0.345950911,0.830365773,0.729011424,0.998093648,0.997500432,
0,0.01,10,0.148584123,0.343656847,0.83477972,0.739194194,0.997276613,0.988657074,
0,0.01,100,0.155876688,0.346868564,0.843416391,0.785126251,0.992919347,0.971230405,
0,0.01,1000,0.212089174,0.354668487,0.868106116,0.888600788,0.98992373,0.895364724,
0,0.01,10000,0.340937783,0.406744678,0.845521712,0.896809674,0.938180832,0.664691232,
0,0.01,100000,0.499209142,0.538655695,0.831095433,0.885737382,0.82489111,0.387937638,
0,0.01,1000000,0.682342899,0.634319823,0.812105627,0.799560582,0.495097986,0.14383058,
0,0.01,10000000,0.831107638,0.762330772,0.802093362,0.777821752,0.230392172,0.056847229,
0,0.1,0,0.128806163,0.20119293,0.917467614,0.8652476,0.978213607,0.93052122,
0,0.1,10,0.13150246,0.199816422,0.917204458,0.87322664,0.980392111,0.934057028,
0,0.1,100,0.153289166,0.200045878,0.929818487,0.929999515,0.978213607,0.909071627,
0,0.1,1000,0.199469662,0.217481088,0.939776905,0.971632156,0.96786494,0.836850681,
0,0.1,10000,0.322262963,0.249369092,0.901582003,0.924237315,0.926198312,0.666703506,
0,0.1,100000,0.403503472,0.355815558,0.847232283,0.859703079,0.889978202,0.53469771,
0,0.1,1000000,0.538500879,0.523743987,0.830240168,0.889156873,0.793845302,0.350443681,
0,0.1,10000000,0.710207277,0.626519822,0.784443357,0.736986608,0.431100287,0.120123002,
0,1,0,0.12477152,0.068134893,0.984287805,0.99077851,0.919662221,0.717880627,
0,1,10,0.13874066,0.071346637,0.984939734,0.998945667,0.919662349,0.711671275,
0,1,100,0.138085636,0.076852466,0.97688925,0.987281348,0.922113263,0.722799123,
